Year,Ceremony,Award,Winner,Name,Film
1927/1928,1,Actor,,Richard Barthelmess,The Noose
1927/1928,1,Actor,1,Emil Jannings,The Last Command
1927/1928,1,Actress,,Louise Dresser,A Ship Comes In
1927/1928,1,Actress,1,Janet Gaynor,7th Heaven
1927/1928,1,Actress,,Gloria Swanson,Sadie Thompson
1927/1928,1,Art Direction,,Rochus Gliese,Sunrise
1927/1928,1,Art Direction,1,William Cameron Menzies,The Dove; Tempest
1927/1928,1,Art Direction,,Harry Oliver,7th Heaven
1927/1928,1,Cinematography,,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
1927/1928,1,Cinematography,1,Charles Rosher,Sunrise
1927/1928,1,Cinematography,1,Karl Struss,Sunrise
1927/1928,1,Directing (Comedy Picture),1,Lewis Milestone,Two Arabian Knights
1927/1928,1,Directing (Comedy Picture),,Ted Wilde,Speedy
